시도명,시군구명,법정동명,법정동코드,기준연월,청년연령기준,총인구수,청년인구수,청년비율,총가구수,1인가구수,1인가구비율,기초수급가구수,기초수급가구비율,연결된_행정동수
서울특별시,서초구,방배동,1165010100,2024,20-39세,107739,28720,0.26657013709056143,42323,13386,0.31628192708456393,1459,0.034472981593932375,6
서울특별시,서초구,양재동,1165010200,2024,20-39세,44233,13119,0.296588519883345,19449,7813,0.4017173119440588,1590,0.08175227518124326,2
서울특별시,서초구,우면동,1165010300,2024,20-39세,17829,4535,0.25436087273543107,7179,2320,0.32316478618191946,707,0.0984816826856108,1
서울특별시,서초구,원지동,1165010400,2024,20-39세,148,50,0.33783783783783783,71,33,0.4647887323943662,4,0.056338028169014086,1
서울특별시,서초구,잠원동,1165010600,2024,20-39세,50680,11798,0.23279400157853197,17713,3816,0.21543499124936488,289,0.01631570033308869,2
서울특별시,서초구,반포동,1165010700,2024,20-39세,78769,18038,0.22899871776968098,28200,7342,0.260354609929078,532,0.018865248226950355,4
서울특별시,서초구,서초동,1165010800,2024,20-39세,92112,26072,0.2830467257252041,36901,12950,0.3509389989431181,707,0.019159372374732392,4
서울특별시,서초구,내곡동,1165010900,2024,20-39세,8022,1785,0.22251308900523561,3113,846,0.27176357211692903,237,0.07613234821715387,1
서울특별시,서초구,염곡동,1165011000,2024,20-39세,968,215,0.22210743801652894,375,102,0.272,28,0.07466666666666667,1
서울특별시,서초구,신원동,1165011100,2024,20-39세,7873,1752,0.22253270671916678,3055,831,0.27201309328968903,232,0.07594108019639935,1
서울특별시,성동구,상왕십리동,1120010100,2024,20-39세,2298,727,0.3163620539599652,1005,387,0.3850746268656716,70,0.06965174129353234,1
서울특별시,성동구,하왕십리동,1120010200,2024,20-39세,34540,10889,0.31525767226404167,15191,5821,0.383187413600158,1052,0.06925153051148707,2
서울특별시,성동구,홍익동,1120010300,2024,20-39세,2288,724,0.31643356643356646,1001,386,0.3856143856143856,70,0.06993006993006994,1
서울특별시,성동구,도선동,1120010400,2024,20-39세,2893,915,0.3162806774974075,1265,488,0.3857707509881423,88,0.06956521739130435,1
서울특별시,성동구,마장동,1120010500,2024,20-39세,21344,7160,0.33545727136431785,9950,4328,0.4349748743718593,640,0.06432160804020101,1
서울특별시,성동구,사근동,1120010600,2024,20-39세,1631,888,0.5444512568976089,1054,752,0.713472485768501,29,0.027514231499051234,1
서울특별시,성동구,행당동,1120010700,2024,20-39세,46651,16007,0.3431223339263896,21366,9120,0.4268463914630722,1195,0.05592998221473369,3
서울특별시,성동구,응봉동,1120010800,2024,20-39세,14723,3638,0.24709637981389662,5491,1180,0.21489710435257695,181,0.03296303041340375,1
서울특별시,성동구,금호동1가,1120010900,2024,20-39세,14580,3725,0.2554869684499314,5986,1748,0.2920147009689275,595,0.09939859672569329,1
서울특별시,성동구,금호동2가,1120011000,2024,20-39세,9337,2654,0.28424547499196745,3966,1208,0.30458900655572363,256,0.06454866364094806,1
서울특별시,성동구,금호동3가,1120011100,2024,20-39세,11811,3358,0.28431123528913727,5017,1528,0.30456448076539766,323,0.06438110424556508,1
서울특별시,성동구,금호동4가,1120011200,2024,20-39세,14074,3644,0.25891715219553785,5872,1833,0.3121594005449591,430,0.07322888283378746,1
서울특별시,성동구,옥수동,1120011300,2024,20-39세,25289,6879,0.27201550081062914,10022,2542,0.2536419876272201,430,0.04290560766314109,1
서울특별시,성동구,성수동1가,1120011400,2024,20-39세,26898,8956,0.3329615584801844,12494,5115,0.409396510324956,563,0.045061629582199454,2
서울특별시,성동구,성수동2가,1120011500,2024,20-39세,23801,7351,0.30885256921978066,11398,5173,0.45385155290401824,811,0.07115283383049657,2
서울특별시,성동구,송정동,1120011800,2024,20-39세,14817,5125,0.34588648174394276,7971,4423,0.5548864634299335,927,0.11629657508468197,2
서울특별시,성동구,용답동,1120012200,2024,20-39세,6690,2733,0.4085201793721973,3840,2406,0.6265625,452,0.11770833333333333,1
서울특별시,성북구,성북동,1129010100,2024,20-39세,10085,3187,0.3160138820029747,4798,2225,0.46373488953730724,221,0.0460608586911213,1
서울특별시,성북구,성북동1가,1129010200,2024,20-39세,1843,582,0.3157894736842105,876,406,0.4634703196347032,40,0.045662100456621,1
서울특별시,성북구,돈암동,1129010300,2024,20-39세,73198,21664,0.2959643706112189,31562,11837,0.37503960458779545,1845,0.058456371586084535,6
서울특별시,성북구,동소문동1가,1129010400,2024,20-39세,939,296,0.3152289669861555,446,207,0.4641255605381166,20,0.04484304932735426,1
서울특별시,성북구,동소문동2가,1129010500,2024,20-39세,179,58,0.3240223463687151,85,40,0.47058823529411764,6,0.07058823529411765,1
서울특별시,성북구,동소문동3가,1129010600,2024,20-39세,52,17,0.3269230769230769,25,11,0.44,1,0.04,1
서울특별시,성북구,동소문동4가,1129010700,2024,20-39세,2960,935,0.3158783783783784,1408,653,0.4637784090909091,64,0.045454545454545456,1
서울특별시,성북구,동소문동5가,1129010800,2024,20-39세,403,132,0.32754342431761785,192,91,0.4739583333333333,13,0.06770833333333333,1
서울특별시,성북구,동소문동6가,1129010900,2024,20-39세,548,262,0.4781021897810219,328,214,0.6524390243902439,14,0.042682926829268296,1
서울특별시,성북구,동소문동7가,1129011000,2024,20-39세,659,316,0.4795144157814871,395,257,0.6506329113924051,17,0.043037974683544304,1
서울특별시,성북구,삼선동1가,1129011100,2024,20-39세,1511,495,0.32759761747187294,721,340,0.47156726768377255,50,0.06934812760055478,1
서울특별시,성북구,삼선동2가,1129011200,2024,20-39세,2026,663,0.3272458045409674,967,456,0.47156153050672184,68,0.0703205791106515,1
서울특별시,성북구,삼선동3가,1129011300,2024,20-39세,1365,447,0.3274725274725275,651,307,0.4715821812596006,45,0.06912442396313365,1
서울특별시,성북구,삼선동4가,1129011400,2024,20-39세,1164,381,0.327319587628866,555,262,0.4720720720720721,39,0.07027027027027027,1
서울특별시,성북구,삼선동5가,1129011500,2024,20-39세,1334,437,0.3275862068965517,636,300,0.4716981132075472,44,0.06918238993710692,1
서울특별시,성북구,동선동1가,1129011600,2024,20-39세,335,160,0.47761194029850745,200,131,0.655,8,0.04,1
서울특별시,성북구,동선동2가,1129011700,2024,20-39세,614,294,0.4788273615635179,368,240,0.6521739130434783,16,0.043478260869565216,1
서울특별시,성북구,동선동3가,1129011800,2024,20-39세,824,394,0.47815533980582525,493,322,0.6531440162271805,21,0.04259634888438134,1
서울특별시,성북구,동선동4가,1129011900,2024,20-39세,570,273,0.4789473684210526,341,222,0.6510263929618768,14,0.04105571847507331,1
서울특별시,성북구,동선동5가,1129012000,2024,20-39세,567,271,0.47795414462081126,340,221,0.65,14,0.041176470588235294,1
서울특별시,성북구,안암동1가,1129012100,2024,20-39세,3817,1942,0.5087765260675924,2478,1754,0.7078288942695722,97,0.03914447134786118,1
서울특별시,성북구,안암동2가,1129012200,2024,20-39세,2349,1195,0.5087271179225202,1525,1079,0.7075409836065574,59,0.038688524590163934,1
서울특별시,성북구,안암동3가,1129012300,2024,20-39세,4040,2055,0.5086633663366337,2623,1856,0.7075867327487609,103,0.03926801372474266,1
서울특별시,성북구,안암동4가,1129012400,2024,20-39세,966,492,0.5093167701863354,627,444,0.7081339712918661,24,0.03827751196172249,1
서울특별시,성북구,안암동5가,1129012500,2024,20-39세,4077,2074,0.5087073828795683,2647,1873,0.7075935020778239,103,0.03891197582168492,1
서울특별시,성북구,보문동4가,1129012600,2024,20-39세,961,318,0.3309053069719043,448,193,0.43080357142857145,28,0.0625,1
서울특별시,성북구,보문동5가,1129012700,2024,20-39세,1751,580,0.33123929183323814,817,352,0.43084455324357407,52,0.06364749082007344,1
서울특별시,성북구,보문동6가,1129012800,2024,20-39세,6047,2003,0.3312386307259798,2821,1215,0.43069833392414036,181,0.0641616448068061,1
서울특별시,성북구,보문동7가,1129012900,2024,20-39세,1025,339,0.3307317073170732,478,206,0.4309623430962343,30,0.06276150627615062,1
서울특별시,성북구,보문동1가,1129013000,2024,20-39세,1688,559,0.3311611374407583,787,339,0.4307496823379924,50,0.06353240152477764,1
서울특별시,성북구,보문동2가,1129013100,2024,20-39세,1997,661,0.3309964947421132,931,401,0.43071965628356607,59,0.06337271750805586,1
