자치구명,법정동코드,법정동명,주거비_압박지수
노원구,1135010300,공릉동,0.18
서대문구,1141011700,연희동,0.1798
동대문구,1123010300,제기동,0.1794
동작구,1159010400,본동,0.1787
동작구,1159010800,대방동,0.1784
강서구,1150010300,화곡동,0.1783
종로구,1111016600,연건동,0.1782
종로구,1111011500,사직동,0.1782
서초구,1165010300,우면동,0.1781
구로구,1153010700,개봉동,0.1775
구로구,1153011200,항동,0.1768
강서구,1150010900,방화동,0.1766
중구,1114013800,필동2가,0.1763
중구,1114016500,황학동,0.176
은평구,1138010900,신사동,0.1758
영등포구,1156010400,영등포동3가,0.1753
은평구,1138010700,응암동,0.1749
성동구,1120010500,마장동,0.1747
성동구,1120010700,행당동,0.1745
서대문구,1141010100,충정로2가,0.1742
용산구,1117010500,남영동,0.1738
성동구,1120011200,금호동4가,0.1736
성북구,1129012900,보문동7가,0.173
성북구,1129012800,보문동6가,0.1729
양천구,1147010300,신월동,0.1724
마포구,1144011500,상수동,0.1718
영등포구,1156013300,대림동,0.1718
광진구,1121510200,능동,0.1716
성북구,1129013300,정릉동,0.1711
동작구,1159010300,상도1동,0.1707
마포구,1144011400,창전동,0.1701
종로구,1111017000,명륜1가,0.1678
중랑구,1126010400,묵동,0.1668
도봉구,1132010800,도봉동,0.1665
영등포구,1156010600,영등포동5가,0.1659
도봉구,1132010600,방학동,0.1658
성북구,1129010400,동소문동1가,0.1645
영등포구,1156010200,영등포동1가,0.1639
영등포구,1156012700,양평동3가,0.1638
강남구,1168011200,자곡동,0.1634
종로구,1111017200,명륜4가,0.1633
강북구,1130510300,수유동,0.163
용산구,1117010400,갈월동,0.1611
중구,1114013600,묵정동,0.1606
종로구,1111016700,충신동,0.16
중구,1114017300,만리동1가,0.1589
종로구,1111014600,가회동,0.1588
성북구,1129011600,동선동1가,0.1586
광진구,1121510700,화양동,0.1578
마포구,1144010100,아현동,0.1577
종로구,1111011000,누하동,0.1561
중구,1114014800,을지로6가,0.1529
서대문구,1141011000,북아현동,0.1508
서대문구,1141010500,냉천동,0.1506
성북구,1129010900,동소문동6가,0.1463
중구,1114014600,광희동2가,0.1385
중구,1114017400,만리동2가,0.1381
성북구,1129012000,동선동5가,0.1375
용산구,1117012000,도원동,0.1373
은평구,1138011400,진관동,0.137
성북구,1129012400,안암동4가,0.1364
동대문구,1123010100,신설동,0.1353
용산구,1117012200,문배동,0.1312
성동구,1120010300,홍익동,0.1283
종로구,1111017100,명륜2가,0.1273
영등포구,1156011200,당산동2가,0.1268
종로구,1111010500,창성동,0.1194
성북구,1129011900,동선동4가,0.1188
서대문구,1141010800,영천동,0.1152
서초구,1165010900,내곡동,0.1139
동대문구,1123010900,휘경동,0.1133
구로구,1153011100,천왕동,0.1126
서초구,1165011000,염곡동,0.1094
종로구,1111018700,무악동,0.1085
종로구,1111014100,안국동,0.1062
성북구,1129013200,보문동3가,0.1016
성북구,1129012600,보문동4가,0.098
강남구,1168011300,율현동,0.0967
성북구,1129012200,안암동2가,0.086
성북구,1129013100,보문동2가,0.072
마포구,1144011600,하중동,0.0657
종로구,1111016000,연지동,0.0554
종로구,1111013200,운니동,0.0456
중구,1114012900,남산동2가,0.0438
중구,1114012200,회현동2가,0.0106
