시군구명,법정동명,법정동코드,cluster_id,cluster_label,청년비율,1인가구비율,기초수급가구비율,concentration_index,concentration_rank
종로구,원서동,1111014900,3,복합 밀집형,0.2342497136311569,0.3910171730515192,0.0396301188903566,0.314285803119326,361
종로구,가회동,1111014600,3,복합 밀집형,0.2344086021505376,0.3895781637717121,0.0397022332506203,0.31389301140941145,362
강동구,둔촌동,1174010600,3,복합 밀집형,0.2870180562185841,0.2830267123999584,0.0519696497245608,0.3136103630744025,363
종로구,교남동,1111017600,3,복합 밀집형,0.2585895117540687,0.3333333333333333,0.0476190476190476,0.3132215922788906,364
구로구,항동,1153011200,3,복합 밀집형,0.241166409411372,0.2584184227677601,0.0855963502063871,0.31246360383531735,365
종로구,계동,1111014800,3,복합 밀집형,0.2341463414634146,0.3896396396396396,0.0382882882882882,0.3123894623298369,366
동작구,흑석동,1159010500,3,복합 밀집형,0.2822481470402499,0.3197041131523329,0.0390180458462038,0.3123424133451701,367
중구,을지로2가,1114010500,3,복합 밀집형,0.2222222222222222,0.5,0.0,0.310551706028248,368
종로구,안국동,1111014100,3,복합 밀집형,0.2350597609561753,0.3809523809523809,0.0380952380952381,0.3093776796796842,369
종로구,화동,1111014300,3,복합 밀집형,0.233160621761658,0.382716049382716,0.037037037037037,0.3079901112699567,370
종로구,누상동,1111010900,3,복합 밀집형,0.2574193548387097,0.3349019607843137,0.0407843137254902,0.30649147072267136,371
종로구,재동,1111014700,3,복합 밀집형,0.2337662337662337,0.3939393939393939,0.0303030303030303,0.30599974783627254,372
종로구,누하동,1111011000,3,복합 밀집형,0.256551724137931,0.3355704697986577,0.0402684563758389,0.30577342421870923,373
종로구,신문로1가,1111012000,3,복합 밀집형,0.2666666666666666,0.4242424242424242,0.0,0.30559685863461805,374
종로구,내자동,1111011400,3,복합 밀집형,0.2666666666666666,0.4242424242424242,0.0,0.30559685863461805,374
종로구,청운동,1111010100,3,복합 밀집형,0.2571047957371226,0.3347732181425486,0.0399568034557235,0.30546185915966434,376
서초구,서초동,1165010800,3,복합 밀집형,0.2830467257252041,0.3509389989431181,0.0191593723747323,0.30522983237273293,377
종로구,옥인동,1111011100,3,복합 밀집형,0.2572050027188689,0.3346560846560846,0.0396825396825396,0.3052023899367602,378
종로구,신교동,1111010200,3,복합 밀집형,0.2571872571872572,0.3345935727788279,0.0396975425330812,0.3051836759397854,379
송파구,거여동,1171011300,3,복합 밀집형,0.2491373130845016,0.2501552657262,0.0768343536509626,0.3050195900564455,380
종로구,통인동,1111010800,3,복합 밀집형,0.2577319587628865,0.3333333333333333,0.039426523297491,0.30473075515192943,381
종로구,효자동,1111010400,3,복합 밀집형,0.2563176895306859,0.3333333333333333,0.0394736842105263,0.3040147770050281,382
종로구,창성동,1111010500,3,복합 밀집형,0.2576530612244898,0.3354037267080745,0.0372670807453416,0.30336199713596146,383
종로구,사간동,1111014400,3,복합 밀집형,0.2338709677419354,0.3653846153846153,0.0384615384615384,0.3031556608883979,384
종로구,소격동,1111014200,3,복합 밀집형,0.2338709677419354,0.3653846153846153,0.0384615384615384,0.3031556608883979,384
강남구,일원동,1168011400,3,복합 밀집형,0.2422130304623048,0.254231097041276,0.0763423840253257,0.3023609846901677,386
마포구,용강동,1144010500,3,복합 밀집형,0.2523245984784446,0.3260188087774294,0.0417972831765935,0.30134883674787283,387
종로구,궁정동,1111010300,3,복합 밀집형,0.2538860103626943,0.3291139240506329,0.0379746835443038,0.29962521219489996,388
중구,저동1가,1114013100,3,복합 밀집형,0.2,0.5,0.0,0.2985754252855631,389
서초구,내곡동,1165010900,3,복합 밀집형,0.2225130890052356,0.271763572116929,0.0761323482171538,0.2982282114893455,390
서초구,신원동,1165011100,3,복합 밀집형,0.2225327067191667,0.272013093289689,0.0759410801963993,0.29814655319469385,391
서초구,방배동,1165010100,3,복합 밀집형,0.2665701370905614,0.3162819270845639,0.0344729815939323,0.29813302896760313,392
마포구,토정동,1144010600,3,복합 밀집형,0.2506459948320413,0.3269230769230769,0.0384615384615384,0.2975202012905898,393
