시도명,시군구명,법정동명,법정동코드,법정동코드8,기준연월,청년연령기준,총인구수,청년인구수,청년비율,청년비율_norm,총가구수,1인가구수,1인가구비율,1인가구비율_norm,기초수급가구수,기초수급가구비율,기초수급가구비율_norm,concentration_index,concentration_rank,cluster_id,cluster_label,neighbor_count,spatial_lag_ci_centered,local_moran_i,lisa_p_value,lisa_cluster,연결된_행정동수
서울특별시,종로구,창신동,1111017400,11110174,2024,20-39세,18059,4613,0.2554405005814275,0.3933292047448052,8178,3286,0.4018097334311568,0.5110722432576799,1161,0.1419662509170946,0.397505502567865,0.4301138205367385,169,3,복합 밀집형,10,0.09265392336110931,0.0030747323449913334,0.044,HH,3
서울특별시,동작구,상도1동,1159010300,11590103,2024,20-39세,3444,1264,0.3670150987224158,0.5651326104562133,1667,806,0.483503299340132,0.6149804130083074,80,0.047990401919616,0.13437312537492482,0.42932113144339057,170,0,청년 밀집형,2,0.03543530340815382,0.0011478359155309497,0.689,Not significant,1
서울특별시,성북구,상월곡동,1129013700,11290137,2024,20-39세,3569,1140,0.319417203698515,0.491841013569017,1728,813,0.4704861111111111,0.5984235129742942,135,0.078125,0.21875000000000003,0.42823390864144417,171,3,복합 밀집형,4,0.02824939305065799,0.0008843533660314081,0.686,Not significant,1
서울특별시,영등포구,양평동3가,1156012700,11560127,2024,20-39세,18566,7669,0.4130668964774319,0.6360435151358531,9055,4227,0.4668139149641082,0.593752751252061,243,0.0268360022087244,0.07514080618442832,0.4270403378377168,172,0,청년 밀집형,9,-0.024797210202503004,-0.0007466848083890017,0.599,Not significant,2
서울특별시,용산구,이태원동,1117013000,11170130,2024,20-39세,14537,4831,0.3323244135653849,0.5117156324366382,7335,3605,0.4914792092706203,0.6251251801481863,449,0.0612133605998636,0.17139740967961808,0.4266271187851456,173,3,복합 밀집형,6,-0.046375513476117264,-0.0013772797859980428,0.414,Not significant,2
서울특별시,성북구,삼선동4가,1129011400,11290114,2024,20-39세,1164,381,0.327319587628866,0.5040091638029782,555,262,0.4720720720720721,0.6004407379407379,39,0.0702702702702702,0.1967567567567566,0.42540029357812853,174,3,복합 밀집형,7,0.03930344420046406,0.001119031999181221,0.48,Not significant,1
서울특별시,성북구,삼선동2가,1129011200,11290112,2024,20-39세,2026,663,0.3272458045409674,0.5038955520490837,967,456,0.4715615305067218,0.5997913668544486,68,0.0703205791106515,0.1968976215098242,0.4252150208019523,175,3,복합 밀집형,8,0.03295618736202768,0.0009322095478043605,0.518,Not significant,1
서울특별시,성북구,삼선동1가,1129011100,11290111,2024,20-39세,1511,495,0.3275976174718729,0.5044372762471534,721,340,0.4715672676837725,0.5997986641190525,50,0.0693481276005547,0.19417475728155317,0.424453810970763,176,3,복합 밀집형,6,0.043566367063162324,0.001199169431280485,0.434,Not significant,1
서울특별시,성북구,삼선동5가,1129011500,11290115,2024,20-39세,1334,437,0.3275862068965517,0.5044197061574199,636,300,0.4716981132075472,0.5999650899415051,44,0.0691823899371069,0.19371069182389936,0.4243351662759133,177,3,복합 밀집형,8,0.05566442447115436,0.0015255656106353936,0.253,Not significant,1
서울특별시,성북구,삼선동3가,1129011300,11290113,2024,20-39세,1365,447,0.3274725274725275,0.5042446617249767,651,307,0.4715821812596006,0.5998176330837621,45,0.0691244239631336,0.19354838709677413,0.42417285701274143,178,3,복합 밀집형,4,0.023141362003976595,0.0006304670822635423,0.741,Not significant,1
서울특별시,성북구,동소문동5가,1129010800,11290108,2024,20-39세,403,132,0.3275434243176178,0.5043538292204789,192,91,0.4739583333333333,0.6028399226641414,13,0.0677083333333333,0.18958333333333327,0.4237299836930767,179,3,복합 밀집형,8,0.08007699955204925,0.0021461670132382534,0.118,Not significant,1
서울특별시,성북구,동소문동2가,1129010500,11290105,2024,20-39세,179,58,0.3240223463687151,0.49893204690195847,85,40,0.4705882352941176,0.5985534073769367,6,0.0705882352941176,0.19764705882352931,0.42336870921700176,180,3,복합 밀집형,7,0.00776052286156489,0.00020518835713627845,0.891,Not significant,1
서울특별시,영등포구,당산동5가,1156011500,11560115,2024,20-39세,12737,5159,0.4050404333830572,0.6236843068715491,6176,3064,0.4961139896373057,0.6310202777576482,87,0.0140867875647668,0.039443005181347045,0.4214006425458081,181,0,청년 밀집형,5,0.06709472460264534,0.0016419387742644845,0.308,Not significant,1
서울특별시,영등포구,당산동4가,1156011400,11560114,2024,20-39세,12030,4873,0.4050706566916043,0.623730844949452,5833,2894,0.4961426367220984,0.6310567147293532,82,0.0140579461683524,0.03936224927138673,0.4213995973960995,182,0,청년 밀집형,7,0.12404820805726662,0.00303557194895661,0.039,HH,1
서울특별시,영등포구,당산동6가,1156011600,11560116,2024,20-39세,3369,1364,0.4048679133273968,0.6234186591917921,1633,810,0.4960195958358849,0.6309002158282624,23,0.0140845070422535,0.03943661971830981,0.4212694123670144,183,0,청년 밀집형,4,0.07633270343923222,0.0018579929800618086,0.302,Not significant,1
서울특별시,영등포구,당산동,1156011700,11560117,2024,20-39세,8289,3357,0.4049945711183496,0.6236136878112819,4019,1994,0.4961433192336402,0.6310575828335221,56,0.0139338143816869,0.039014680268723324,0.42123720367805845,184,0,청년 밀집형,9,-0.038468422098646156,-0.0009351100831795824,0.429,Not significant,1
서울특별시,노원구,하계동,1135010400,11350104,2024,20-39세,46615,12050,0.2585004826772498,0.3980409881994397,18376,5732,0.3119286025250326,0.3967500967868295,3044,0.1656508489333913,0.4638223770134957,0.4206772068605762,185,3,복합 밀집형,4,-0.017709233695484952,-0.0004205679974497346,0.815,Not significant,2
서울특별시,은평구,불광동,1138010300,11380103,2024,20-39세,63877,17546,0.2746841586173427,0.42296073417893537,29189,11533,0.3951145979649868,0.5025565264471616,3562,0.1220322724313953,0.3416903628079069,0.41839484187954323,186,3,복합 밀집형,6,-0.0404205042550602,-0.0008676725976684475,0.492,Not significant,2
서울특별시,구로구,오류동,1153010800,11530108,2024,20-39세,43276,13165,0.3042101857842684,0.46842513296615257,20235,8570,0.4235235977267111,0.5386906716132068,1869,0.0923647146034099,0.25862120088954776,0.4160734183334571,187,3,복합 밀집형,5,-0.06970327361414014,-0.0013344500894779648,0.273,Not significant,2
서울특별시,강서구,방화동,1150010900,11500109,2024,20-39세,64280,17593,0.27369321717486,0.4214348750898982,28897,11503,0.3980690037028065,0.5063143118920967,3404,0.117797695262484,0.32983354673495524,0.4148382412063277,188,3,복합 밀집형,4,-0.0973151603069345,-0.001742870640296056,0.166,Not significant,4
서울특별시,서초구,원지동,1165010400,11650104,2024,20-39세,148,50,0.3378378378378378,0.5202052446146933,71,33,0.4647887323943662,0.5911768689057422,4,0.056338028169014,0.15774647887323923,0.414636163892499,189,3,복합 밀집형,2,-0.051232981158031154,-0.0009072065676426781,0.592,Not significant,1
서울특별시,중구,중림동,1114017100,11140171,2024,20-39세,6271,1785,0.2846435975123584,0.43829635312489135,2796,1122,0.4012875536480687,0.5104080692197646,307,0.109799713876967,0.30743919885550763,0.414129863959069,190,3,복합 밀집형,9,-0.05512626271177239,-0.000948236317714131,0.237,Not significant,1
서울특별시,중구,만리동2가,1114017400,11140174,2024,20-39세,4457,1269,0.2847206641238501,0.43841502087312006,1987,797,0.4011071967790639,0.5101786686304804,218,0.1097131353799698,0.30719677906391546,0.4140177305671066,191,3,복합 밀집형,4,0.033816776984043284,0.000577896202015016,0.636,Not significant,1
