시군구명,법정동명,법정동코드,CI
동대문구,제기동,1123010300,0.4912946119729019
중구,필동2가,1114013800,0.49108308343831897
중구,충무로3가,1114015800,0.49095476715919684
중구,필동1가,1114013700,0.487239908827981
은평구,대조동,1138010600,0.48545709173192975
동대문구,청량리동,1123010700,0.4826878266671515
용산구,보광동,1117013600,0.4808609244630445
강남구,논현동,1168010800,0.4773011033093058
중랑구,상봉동,1126010200,0.4771465209873774
용산구,용산동2가,1117010200,0.47655316681572696
중구,무학동,1114016400,0.47573228021431757
강서구,개화동,1150011000,0.4755361906610734
동대문구,용두동,1123010200,0.47439823563053624
동대문구,신설동,1123010100,0.4743164834199281
종로구,명륜2가,1111017100,0.4724953430972561
중구,회현동1가,1114012100,0.47248517207703455
종로구,혜화동,1111016900,0.47244775749021733
종로구,명륜3가,1111017300,0.4722667625914918
종로구,명륜1가,1111017000,0.4722276974179226
마포구,연남동,1144012400,0.4721096654390401
중구,회현동2가,1114012200,0.472021036275949
송파구,삼전동,1171010600,0.4716471019273544
종로구,명륜4가,1111017200,0.47155361918218325
중구,예관동,1114013500,0.4699582515035271
중랑구,중화동,1126010300,0.4684141758010183
송파구,석촌동,1171010500,0.4652912379179216
영등포구,당산동3가,1156011300,0.4649716229798759
영등포구,당산동1가,1156011100,0.46475172794537833
영등포구,당산동2가,1156011200,0.4647027508452868
관악구,남현동,1162010300,0.4602715740649926
용산구,문배동,1117012200,0.4594700254166949
용산구,원효로2가,1117011300,0.4592882554670893
용산구,원효로1가,1117011200,0.4592652341609401
동작구,본동,1159010400,0.459230244294761
용산구,신계동,1117012300,0.45872327933566803
영등포구,도림동,1156011800,0.4585324918545623
금천구,독산동,1154510200,0.45735889852182515
중랑구,망우동,1126010500,0.4568229605243762
강동구,천호동,1174010900,0.4561624871050819
중구,남학동,1114014000,0.4540591766200772
마포구,합정동,1144012200,0.4528484067319875
마포구,중동,1144012600,0.4525494153743671
동대문구,휘경동,1123010900,0.4519248013391826
서대문구,연희동,1141011700,0.4482916862619724
중구,순화동,1114016800,0.447233326652248
중구,예장동,1114014200,0.4463811472299894
광진구,중곡동,1121510100,0.44519086293183047
영등포구,양평동1가,1156012500,0.4445994725921368
중구,주자동,1114014100,0.44451973169000725
영등포구,양평동2가,1156012600,0.44441908302445327
강남구,역삼동,1168010100,0.4409821774345179
중랑구,면목동,1126010100,0.4383950487315
용산구,후암동,1117010100,0.4353710777130029
마포구,성산동,1144012500,0.43513270440388546
동대문구,이문동,1123011000,0.433791442852351
강북구,수유동,1130510300,0.43236774652557686
종로구,창신동,1111017400,0.4301138205367385
동작구,상도1동,1159010300,0.42932113144339057
성북구,상월곡동,1129013700,0.42823390864144417
영등포구,양평동3가,1156012700,0.4270403378377168
용산구,이태원동,1117013000,0.4266271187851456
성북구,삼선동4가,1129011400,0.42540029357812853
성북구,삼선동2가,1129011200,0.4252150208019523
성북구,삼선동1가,1129011100,0.424453810970763
성북구,삼선동5가,1129011500,0.4243351662759133
성북구,삼선동3가,1129011300,0.42417285701274143
성북구,동소문동5가,1129010800,0.4237299836930767
성북구,동소문동2가,1129010500,0.42336870921700176
영등포구,당산동5가,1156011500,0.4214006425458081
영등포구,당산동4가,1156011400,0.4213995973960995
영등포구,당산동6가,1156011600,0.4212694123670144
영등포구,당산동,1156011700,0.42123720367805845
노원구,하계동,1135010400,0.4206772068605762
은평구,불광동,1138010300,0.41839484187954323
구로구,오류동,1153010800,0.4160734183334571
강서구,방화동,1150010900,0.4148382412063277
서초구,원지동,1165010400,0.414636163892499
중구,중림동,1114017100,0.414129863959069
중구,만리동2가,1114017400,0.4140177305671066
송파구,마천동,1171011400,0.41364529088515983
서대문구,충정로3가,1141010200,0.41275477691862705
