순위,시군구명,법정동명,법정동코드,LDRI_raw,점수,총점_raw,총점
237,용산구,문배동,1117012200,0.15504,0,0.15504,29.73624
238,구로구,신도림동,1153010100,0.157044,0.0068,0.155004,29.729336
239,종로구,계동,1111014800,0.154794,0,0.154794,29.689058
240,종로구,명륜2가,1111017100,0.15428,0,0.15428,29.590475
241,동작구,흑석동,1159010500,0.187106,0.1104,0.153986,29.534086
242,동작구,상도동,1159010200,0.216248,0.212,0.152648,29.277462
243,서대문구,홍제동,1141011100,0.187967,0.1206,0.151787,29.112324
244,영등포구,당산동2가,1156011200,0.151085,0,0.151085,28.977682
245,서대문구,남가좌동,1141012000,0.205364,0.185,0.149864,28.743498
246,서초구,신원동,1165011100,0.149071,0,0.149071,28.591403
247,강서구,외발산동,1150010700,0.148879,0,0.148879,28.554578
248,성동구,하왕십리동,1120010200,0.202411,0.1796,0.148531,28.487832
249,서대문구,북가좌동,1141011900,0.175909,0.0914,0.148489,28.479777
250,서초구,서초동,1165010800,0.16901,0.0712,0.14765,28.318859
251,송파구,오금동,1171011200,0.178353,0.1059,0.146583,28.114211
252,종로구,부암동,1111018400,0.144765,0,0.144765,27.765524
253,동대문구,전농동,1123010400,0.19754,0.1793,0.14375,27.57085
254,양천구,신월동,1147010300,0.1673,0.0789,0.14363,27.547834
255,성북구,정릉동,1129013300,0.161455,0.0595,0.143605,27.543039
256,성동구,응봉동,1120010800,0.142914,0,0.142914,27.410507
257,도봉구,도봉동,1132010800,0.164532,0.0722,0.142872,27.402452
258,성동구,옥수동,1120011300,0.179449,0.1288,0.140809,27.006774
259,중구,만리동2가,1114017400,0.147696,0.0237,0.140586,26.964003
260,서대문구,냉천동,1141010500,0.14394,0.018,0.13854,26.571586
261,강동구,고덕동,1174010200,0.174694,0.1222,0.138034,26.474537
262,송파구,잠실동,1171010100,0.140845,0.0146,0.136465,26.173607
263,동대문구,답십리동,1123010500,0.203357,0.2233,0.136367,26.154811
264,구로구,개봉동,1153010700,0.147826,0.0409,0.135556,25.999263
265,종로구,구기동,1111018200,0.135455,0,0.135455,25.979892
266,성북구,길음동,1129013400,0.205455,0.2335,0.135405,25.970302
267,영등포구,문래동3가,1156012100,0.135212,0,0.135212,25.933285
268,서대문구,북아현동,1141011000,0.156375,0.0715,0.134925,25.878239
269,영등포구,문래동1가,1156011900,0.134055,0.002,0.133455,25.596298
270,강남구,대치동,1168010600,0.134548,0.0072,0.132388,25.39165
271,성동구,금호동4가,1120011200,0.150692,0.0679,0.130322,24.995397
272,종로구,가회동,1111014600,0.130158,0,0.130158,24.963942
273,중구,신당동,1114016200,0.228457,0.3336,0.128377,24.622351
274,강동구,둔촌동,1174010600,0.157066,0.097,0.127966,24.543523
275,성동구,금호동1가,1120010900,0.165408,0.1253,0.127818,24.515137
276,종로구,평창동,1111018300,0.127557,0,0.127557,24.465078
277,성동구,홍익동,1120010300,0.127186,0,0.127186,24.393921
278,노원구,공릉동,1135010300,0.191465,0.2146,0.127085,24.374549
279,은평구,응암동,1138010700,0.172643,0.1525,0.126893,24.337724
280,용산구,이촌동,1117012900,0.126726,0,0.126726,24.305694
281,종로구,누하동,1111011000,0.124481,0,0.124481,23.875109
282,성북구,안암동2가,1129012200,0.122796,0,0.122796,23.551931
283,용산구,도원동,1117012000,0.137229,0.0494,0.122409,23.477705
284,강동구,명일동,1174010100,0.124698,0.0143,0.120408,23.093919
285,광진구,광장동,1121510400,0.119809,0,0.119809,22.979033
286,강남구,자곡동,1168011200,0.160456,0.1417,0.117946,22.621715
287,성동구,행당동,1120010700,0.184629,0.2264,0.116709,22.384461
288,양천구,목동,1147010200,0.133771,0.057,0.116671,22.377173
289,강남구,신사동,1168010700,0.116939,0.0043,0.115649,22.181156
290,강남구,일원동,1168011400,0.185018,0.2396,0.113138,21.699553
291,송파구,가락동,1171010700,0.151332,0.13,0.112332,21.544965
292,노원구,월계동,1135010200,0.205971,0.3262,0.108111,20.735389
293,서대문구,영천동,1141010800,0.10744,0,0.10744,20.606693
294,동대문구,휘경동,1123010900,0.12986,0.0817,0.10535,20.205837
295,관악구,봉천동,1162010100,0.2733,0.5619,0.10473,20.086922
296,성북구,보문동3가,1129013200,0.103202,0,0.103202,19.793856
297,서초구,잠원동,1165010600,0.119085,0.0546,0.102705,19.698533
298,서초구,우면동,1165010300,0.167267,0.2178,0.101927,19.549315
299,성북구,보문동4가,1129012600,0.098787,0,0.098787,18.947072
300,강남구,도곡동,1168011800,0.098729,0.0083,0.096239,18.458372
301,종로구,창성동,1111010500,0.092349,0,0.092349,17.712281
302,서초구,반포동,1165010700,0.133043,0.1364,0.092123,17.668935
303,강북구,미아동,1130510100,0.198777,0.3557,0.092067,17.658194
304,송파구,거여동,1171011300,0.179818,0.2995,0.089968,17.255612
305,마포구,아현동,1144010100,0.149336,0.2005,0.089186,17.105627
306,구로구,항동,1153011200,0.145302,0.1904,0.088182,16.913062
307,강서구,가양동,1150010400,0.272916,0.626,0.085116,16.325012
308,강서구,마곡동,1150010500,0.244406,0.5361,0.083576,16.029644
309,종로구,안국동,1111014100,0.082754,0,0.082754,15.871987
310,서초구,염곡동,1165011000,0.082009,0,0.082009,15.729098
311,노원구,상계동,1135010500,0.181328,0.3332,0.081368,15.606156
312,강남구,율현동,1168011300,0.090301,0.0402,0.078241,15.006406
313,강서구,방화동,1150010900,0.192676,0.3824,0.077956,14.951744
314,마포구,상암동,1144012700,0.186792,0.3729,0.074922,14.369831
315,강남구,개포동,1168010300,0.141671,0.237,0.070571,13.535321
316,성북구,보문동2가,1129013100,0.06955,0,0.06955,13.339496
317,종로구,연지동,1111016000,0.068465,0,0.068465,13.131396
318,강서구,내발산동,1150010600,0.158525,0.3023,0.067835,13.010564
319,종로구,운니동,1111013200,0.06304,0,0.06304,12.090897
320,마포구,하중동,1144011600,0.060331,0,0.060331,11.571318
321,서초구,내곡동,1165010900,0.086196,0.0995,0.056346,10.807006
322,종로구,무악동,1111018700,0.070426,0.0509,0.055156,10.578767
323,송파구,문정동,1171010800,0.195764,0.4897,0.048854,9.370061
324,중랑구,신내동,1126010600,0.19635,0.5095,0.0435,8.343179
325,중구,남산동2가,1114012900,0.035697,0,0.035697,6.846585
326,노원구,중계동,1135010600,0.176777,0.5043,0.025487,4.888336
327,강동구,상일동,1174010300,0.146408,0.4257,0.018698,3.586224
328,구로구,천왕동,1153011100,0.095033,0.4641,-0.044197,-8.476862
329,은평구,진관동,1138011400,0.102188,0.6294,-0.086632,-16.615776
330,양천구,신정동,1147010100,0.160193,1,-0.139807,-26.814593
331,중구,회현동2가,1114012200,0,0,0,0
332,종로구,청진동,1111012200,,0,,
333,종로구,경운동,1111013400,,0,,
334,종로구,관철동,1111013500,,0,,
335,종로구,낙원동,1111013700,,0,,
336,종로구,원남동,1111015900,,0,,
337,종로구,종로3가,1111015600,,0,,
338,종로구,인의동,1111015700,,0,,
339,종로구,권농동,1111013100,,0,,
340,종로구,익선동,1111013300,,0,,
341,종로구,돈의동,1111015300,,0,,
342,종로구,견지동,1111012900,,0,,
343,종로구,예지동,1111015800,,0,,
344,종로구,수송동,1111012400,,0,,
345,종로구,봉익동,1111015200,,0,,
346,종로구,종로1가,1111012600,,0,,
347,종로구,인사동,1111013600,,0,,
348,종로구,장사동,1111015400,,0,,
349,서대문구,봉원동,1141011500,,0,,
350,종로구,관훈동,1111012800,,0,,
351,종로구,묘동,1111015100,,0,,
