법정동코드,시군구명,법정동명,관측품질,CI,주거비_압박지수,LDRI,위험유형,차원비교유형
1123010600,동대문구,장안동,주거비관측,0.360977,0.1969,35.513069,안정형,CI 낮음 / 주거비 낮음
1123010400,동대문구,전농동,주거비관측,0.387495,0.1928,37.465559,안정형,CI 낮음 / 주거비 낮음
1144011500,마포구,상수동,주거비관측,0.39169,0.1718,33.479288,안정형,CI 낮음 / 주거비 낮음
1144012700,마포구,상암동,주거비관측,0.353229,0.1996,35.205755,안정형,CI 낮음 / 주거비 낮음
1144010100,마포구,아현동,주거비관측,0.362838,0.1577,28.065324,안정형,CI 낮음 / 주거비 낮음
1144011400,마포구,창전동,주거비관측,0.391758,0.1701,33.127592,안정형,CI 낮음 / 주거비 낮음
1144011600,마포구,하중동,주거비관측,0.391337,0.0657,11.129901,안정형,CI 낮음 / 주거비 낮음
1141010500,서대문구,냉천동,주거비관측,0.367462,0.1506,27.05496,안정형,CI 낮음 / 주거비 낮음
1141011900,서대문구,북가좌동,주거비관측,0.343932,0.1934,33.062245,안정형,CI 낮음 / 주거비 낮음
1141011000,서대문구,북아현동,주거비관측,0.398638,0.1508,29.621314,안정형,CI 낮음 / 주거비 낮음
1141010800,서대문구,영천동,주거비관측,0.367107,0.1152,20.04131,안정형,CI 낮음 / 주거비 낮음
1141011800,서대문구,홍은동,주거비관측,0.34695,0.1975,34.140495,안정형,CI 낮음 / 주거비 낮음
1165010900,서초구,내곡동,주거비관측,0.298228,0.1139,15.568076,안정형,CI 낮음 / 주거비 낮음
1165011100,서초구,신원동,주거비관측,0.298147,0.1893,27.645833,안정형,CI 낮음 / 주거비 낮음
1165011000,서초구,염곡동,주거비관측,0.296663,0.1094,14.75475,안정형,CI 낮음 / 주거비 낮음
1165010300,서초구,우면동,주거비관측,0.356908,0.1781,31.476024,안정형,CI 낮음 / 주거비 낮음
1120010900,성동구,금호동1가,주거비관측,0.346527,0.1812,31.059705,안정형,CI 낮음 / 주거비 낮음
1120011200,성동구,금호동4가,주거비관측,0.330416,0.1736,28.140924,안정형,CI 낮음 / 주거비 낮음
1120011400,성동구,성수동1가,주거비관측,0.379821,0.1987,37.874817,안정형,CI 낮음 / 주거비 낮음
1120010200,성동구,하왕십리동,주거비관측,0.383985,0.199,38.381449,안정형,CI 낮음 / 주거비 낮음
1120010300,성동구,홍익동,주거비관측,0.38621,0.1283,23.943416,안정형,CI 낮음 / 주거비 낮음
1129010400,성북구,동소문동1가,주거비관측,0.390933,0.1645,31.875502,안정형,CI 낮음 / 주거비 낮음
1129013900,성북구,석관동,주거비관측,0.397715,0.1853,36.921398,안정형,CI 낮음 / 주거비 낮음
1129013300,성북구,정릉동,주거비관측,0.359532,0.1711,30.374488,안정형,CI 낮음 / 주거비 낮음
