법정동코드,시군구명,법정동명,관측품질,LDRI,neighbor_count,gi_star_z,gi_star_p,hotspot_class
1132010600,도봉구,방학동,주거비관측,30.184242,5,-1.2238,0.221028,Not significant
1132010700,도봉구,창동,주거비관측,35.428328,6,-0.796845,0.425541,Not significant
1132010800,도봉구,도봉동,주거비관측,31.066099,3,-1.120618,0.26245,Not significant
1135010200,노원구,월계동,주거비관측,39.220693,8,-0.61315,0.539777,Not significant
1135010300,노원구,공릉동,주거비관측,36.392408,5,-0.866396,0.386273,Not significant
1135010400,노원구,하계동,주거비관측,41.921639,4,-0.69395,0.487714,Not significant
1135010500,노원구,상계동,주거비관측,34.156858,6,-1.169881,0.242049,Not significant
1135010600,노원구,중계동,주거비관측,33.253813,3,-0.694052,0.48765,Not significant
1138010100,은평구,수색동,주거비관측,47.640971,4,-0.719031,0.472122,Not significant
1138010200,은평구,녹번동,주거비관측,40.117917,5,-0.322435,0.747123,Not significant
1138010300,은평구,불광동,주거비관측,42.983909,6,-1.08853,0.276361,Not significant
1138010400,은평구,갈현동,주거비관측,37.890988,5,-0.823725,0.410096,Not significant
1138010500,은평구,구산동,주거비관측,32.014933,3,-0.282731,0.777383,Not significant
1138010600,은평구,대조동,주거비관측,50.069782,5,-0.236508,0.813038,Not significant
1138010700,은평구,응암동,주거비관측,32.614857,7,-1.142818,0.253114,Not significant
1138010800,은평구,역촌동,주거비관측,38.100732,6,-0.755172,0.450146,Not significant
1138010900,은평구,신사동,주거비관측,30.821078,4,-0.646018,0.518268,Not significant
1138011000,은평구,증산동,주거비관측,37.374569,4,-0.796319,0.425846,Not significant
1138011400,은평구,진관동,주거비관측,18.587215,3,-1.413496,0.15751,Not significant
1141010100,서대문구,충정로2가,주거비관측,35.814394,2,-0.628961,0.529375,Not significant
1141010200,서대문구,충정로3가,주거비관측,45.67377,4,-0.928011,0.353402,Not significant
1141010500,서대문구,냉천동,주거비관측,27.05496,6,-0.771827,0.440217,Not significant
1141010600,서대문구,천연동,주거비관측,45.012209,3,-0.237249,0.812464,Not significant
1141010700,서대문구,옥천동,주거비관측,57.753743,4,-0.856881,0.39151,Not significant
1141010800,서대문구,영천동,주거비관측,20.04131,3,-1.068798,0.285161,Not significant
1141011000,서대문구,북아현동,주거비관측,29.621314,10,0.216662,0.828472,Not significant
1141011100,서대문구,홍제동,주거비관측,35.359015,7,-1.362686,0.172981,Not significant
1141011200,서대문구,대현동,주거비관측,53.409376,7,3.627229,0.000286,Hot Spot 99%
1141011300,서대문구,대신동,주거비관측,93.536476,2,4.114984,0.000039,Hot Spot 99%
1141011400,서대문구,신촌동,주거비관측,85.15775,5,3.512448,0.000444,Hot Spot 99%
1141011600,서대문구,창천동,주거비관측,76.277943,6,3.454789,0.000551,Hot Spot 99%
1141011700,서대문구,연희동,주거비관측,40.633416,7,1.567962,0.11689,Not significant
1141011800,서대문구,홍은동,주거비관측,34.140495,8,-0.924173,0.355396,Not significant
1141011900,서대문구,북가좌동,주거비관측,33.062245,6,-0.612716,0.540064,Not significant
1141012000,서대문구,남가좌동,주거비관측,38.666058,6,-0.609881,0.54194,Not significant
1144010100,마포구,아현동,주거비관측,28.065324,6,-0.767802,0.442605,Not significant
1144010200,마포구,공덕동,주거비관측,40.487759,8,1.030924,0.302576,Not significant
1144010300,마포구,신공덕동,주거비관측,42.27982,3,0.257159,0.797056,Not significant
1144010400,마포구,도화동,주거비관측,50.927853,8,0.476664,0.633602,Not significant
1144010500,마포구,용강동,주거비관측,31.583581,7,1.853159,0.06386,Hot Spot 90%
1144010600,마포구,토정동,주거비관측,41.462475,2,1.262113,0.206908,Not significant
1144010700,마포구,마포동,주거비관측,84.751864,3,1.403929,0.16034,Not significant
1144010800,마포구,대흥동,주거비관측,47.932511,5,0.731078,0.464732,Not significant
1144010900,마포구,염리동,주거비관측,38.007133,7,-0.310336,0.756306,Not significant
1144011000,마포구,노고산동,주거비관측,62.286747,6,2.321482,0.020261,Hot Spot 95%
1144011100,마포구,신수동,주거비관측,43.436096,6,1.006211,0.314314,Not significant
1144011200,마포구,현석동,주거비관측,73.248832,3,0.71151,0.476768,Not significant
1144011300,마포구,구수동,주거비관측,39.664364,3,0.762927,0.445507,Not significant
1144011400,마포구,창전동,주거비관측,33.127592,7,0.254749,0.798917,Not significant
1144011500,마포구,상수동,주거비관측,33.479288,5,-0.749457,0.453582,Not significant
1144011600,마포구,하중동,주거비관측,11.129901,2,-1.811731,0.070028,Cold Spot 90%
1144011800,마포구,당인동,주거비관측,41.463131,2,-0.028986,0.976876,Not significant
1144012000,마포구,서교동,주거비관측,53.943096,7,0.766089,0.443623,Not significant
1144012100,마포구,동교동,주거비관측,66.818542,5,2.348865,0.018831,Hot Spot 95%
1144012200,마포구,합정동,주거비관측,49.227622,5,0.393557,0.693908,Not significant
1144012300,마포구,망원동,주거비관측,39.793552,4,0.463008,0.643359,Not significant
1144012400,마포구,연남동,주거비관측,43.518801,5,2.097364,0.035961,Hot Spot 95%
1144012500,마포구,성산동,주거비관측,45.559467,7,0.16314,0.870408,Not significant
1144012600,마포구,중동,주거비관측,42.698897,4,-0.388274,0.697813,Not significant
1144012700,마포구,상암동,주거비관측,35.205755,6,-0.287254,0.773918,Not significant
1147010100,양천구,신정동,주거비관측,29.87979,8,-2.022397,0.043135,Cold Spot 95%
1147010200,양천구,목동,주거비관측,24.598214,5,-0.865004,0.387037,Not significant
1147010300,양천구,신월동,주거비관측,31.554296,4,-1.603981,0.108718,Not significant
1150010100,강서구,염창동,주거비관측,36.172036,3,-0.468882,0.639154,Not significant
1150010200,강서구,등촌동,주거비관측,56.510434,4,-0.760923,0.446703,Not significant
1150010300,강서구,화곡동,주거비관측,36.066313,5,-1.142421,0.253279,Not significant
1150010400,강서구,가양동,주거비관측,52.622969,0,0.728039,0.46659,Not significant
1150010500,강서구,마곡동,주거비관측,46.445561,2,-0.350233,0.726164,Not significant
1150010600,강서구,내발산동,주거비관측,29.353301,5,-0.984849,0.324698,Not significant
1150010700,강서구,외발산동,주거비관측,27.585211,3,-1.511972,0.130541,Not significant
1150010800,강서구,공항동,주거비관측,32.670291,4,-1.058005,0.290053,Not significant
1150010900,강서구,방화동,주거비관측,36.686994,2,-0.350233,0.726164,Not significant
1153010100,구로구,신도림동,주거비관측,28.93354,4,-1.664139,0.096085,Cold Spot 90%
1153010200,구로구,구로동,주거비관측,36.081478,9,0.003228,0.997425,Not significant
1153010300,구로구,가리봉동,주거비관측,59.479695,3,1.262263,0.206854,Not significant
1153010600,구로구,고척동,주거비관측,39.372953,3,-1.12293,0.261467,Not significant
1153010700,구로구,개봉동,주거비관측,27.51156,6,-1.672304,0.094464,Cold Spot 90%
1153010800,구로구,오류동,주거비관측,44.676098,5,-1.881607,0.059889,Cold Spot 90%
1153010900,구로구,궁동,주거비관측,30.379028,4,-1.250977,0.210943,Not significant
1153011000,구로구,온수동,주거비관측,33.825984,3,-1.021744,0.306902,Not significant
1153011100,구로구,천왕동,주거비관측,17.463683,3,-1.662109,0.096491,Cold Spot 90%
1153011200,구로구,항동,주거비관측,27.00323,3,-1.451834,0.146548,Not significant
1154510100,금천구,가산동,주거비관측,62.730148,3,1.262263,0.206854,Not significant
1154510200,금천구,독산동,주거비관측,46.180298,5,1.332289,0.182765,Not significant
1154510300,금천구,시흥동,주거비관측,40.820462,2,0.594448,0.552212,Not significant
1156010100,영등포구,영등포동,주거비관측,63.285235,6,1.988095,0.046801,Hot Spot 95%
1156010200,영등포구,영등포동1가,주거비관측,53.821406,4,2.188003,0.028669,Hot Spot 95%
1156010300,영등포구,영등포동2가,주거비관측,60.15307,5,2.475636,0.0133,Hot Spot 95%
1156010400,영등포구,영등포동3가,주거비관측,57.798833,5,2.9109,0.003604,Hot Spot 99%
1156010500,영등포구,영등포동4가,주거비관측,66.968768,6,1.721848,0.085097,Hot Spot 90%
1156010600,영등포구,영등포동5가,주거비관측,54.552804,5,3.409919,0.00065,Hot Spot 99%
1156010700,영등포구,영등포동6가,주거비관측,67.605846,7,2.223935,0.026153,Hot Spot 95%
1156010800,영등포구,영등포동7가,주거비관측,67.797659,6,3.220488,0.00128,Hot Spot 99%
1156010900,영등포구,영등포동8가,주거비관측,75.170059,4,2.232928,0.025554,Hot Spot 95%
1156011100,영등포구,당산동1가,주거비관측,54.389182,4,0.336159,0.736751,Not significant
1156011200,영등포구,당산동2가,주거비관측,28.981568,5,0.14345,0.885935,Not significant
1156011300,영등포구,당산동3가,주거비관측,43.669869,6,1.354951,0.175433,Not significant
1156011400,영등포구,당산동4가,주거비관측,47.184985,6,2.091837,0.036453,Hot Spot 95%
1156011600,영등포구,당산동6가,주거비관측,46.535586,3,1.31154,0.189675,Not significant
1156011700,영등포구,당산동,주거비관측,46.373337,6,1.957162,0.050328,Hot Spot 90%
1156011800,영등포구,도림동,주거비관측,57.198943,4,0.486252,0.626789,Not significant
1156011900,영등포구,문래동1가,주거비관측,24.53559,6,0.183423,0.854466,Not significant
1156012100,영등포구,문래동3가,주거비관측,24.830731,6,1.116548,0.264188,Not significant
1156012500,영등포구,양평동1가,주거비관측,68.331062,5,1.387415,0.165315,Not significant
1156012600,영등포구,양평동2가,주거비관측,100,2,3.006739,0.002641,Hot Spot 99%
1156012700,영등포구,양평동3가,주거비관측,34.907265,7,1.241774,0.21432,Not significant
1156012800,영등포구,양평동4가,주거비관측,37.872399,5,0.243541,0.807586,Not significant
1156012900,영등포구,양평동5가,주거비관측,45.906019,3,0.453061,0.650505,Not significant
1156013000,영등포구,양평동6가,주거비관측,50.020046,1,0.593589,0.552787,Not significant
1156013200,영등포구,신길동,주거비관측,46.497077,7,1.333334,0.182422,Not significant
1156013300,영등포구,대림동,주거비관측,32.991844,7,-0.321301,0.747983,Not significant
1159010100,동작구,노량진동,주거비관측,64.033909,4,-0.094172,0.924973,Not significant
1159010200,동작구,상도동,주거비관측,41.161924,9,0.376441,0.706589,Not significant
1159010300,동작구,상도1동,주거비관측,36.700261,2,-0.216687,0.828452,Not significant
1159010400,동작구,본동,주거비관측,41.419001,5,-0.234582,0.814533,Not significant
1159010500,동작구,흑석동,주거비관측,35.033108,4,-0.684205,0.493846,Not significant
1159010600,동작구,동작동,주거비관측,44.757354,6,-1.237081,0.216057,Not significant
1159010700,동작구,사당동,주거비관측,42.892384,5,0.240395,0.810024,Not significant
1159010800,동작구,대방동,주거비관측,35.535942,4,0.5652,0.571938,Not significant
1159010900,동작구,신대방동,주거비관측,39.926391,6,0.270443,0.786819,Not significant
1162010100,관악구,봉천동,주거비관측,52.66527,5,0.703767,0.481578,Not significant
1162010200,관악구,신림동,주거비관측,53.407197,7,0.344502,0.730469,Not significant
1162010300,관악구,남현동,주거비관측,45.600925,4,0.535278,0.592458,Not significant
1165010100,서초구,방배동,주거비관측,31.586397,6,-0.996893,0.318817,Not significant
1165010200,서초구,양재동,주거비관측,43.979583,6,-2.496274,0.012551,Cold Spot 95%
1165010300,서초구,우면동,주거비관측,31.476024,3,-0.932695,0.350977,Not significant
1165010600,서초구,잠원동,주거비관측,21.46108,8,-0.973682,0.330214,Not significant
1165010700,서초구,반포동,주거비관측,24.242566,8,-1.51563,0.129613,Not significant
1165010800,서초구,서초동,주거비관측,31.516398,7,-1.596987,0.110269,Not significant
1165010900,서초구,내곡동,주거비관측,15.568076,6,-2.540731,0.011062,Cold Spot 95%
1165011000,서초구,염곡동,주거비관측,14.75475,4,-2.395323,0.016606,Cold Spot 95%
1165011100,서초구,신원동,주거비관측,27.645833,3,-2.15184,0.03141,Cold Spot 95%
1168010100,강남구,역삼동,주거비관측,41.017324,6,-1.984596,0.047189,Cold Spot 95%
1168010300,강남구,개포동,주거비관측,25.962905,6,-2.90077,0.003722,Cold Spot 99%
1168010400,강남구,청담동,주거비관측,34.001172,6,-0.95991,0.337101,Not significant
1168010500,강남구,삼성동,주거비관측,29.828987,6,-1.311926,0.189545,Not significant
1168010600,강남구,대치동,주거비관측,24.500195,6,-2.333453,0.019624,Cold Spot 95%
1168010700,강남구,신사동,주거비관측,21.14142,4,-0.929094,0.35284,Not significant
1168010800,강남구,논현동,주거비관측,44.463036,7,-2.024795,0.042888,Cold Spot 95%
1168011100,강남구,세곡동,주거비관측,42.245723,3,-2.054236,0.039953,Cold Spot 95%
1168011200,강남구,자곡동,주거비관측,30.272353,6,-2.199645,0.027832,Cold Spot 95%
1168011300,강남구,율현동,주거비관측,16.7931,3,-1.337881,0.180935,Not significant
1168011400,강남구,일원동,주거비관측,34.57519,7,-2.409996,0.015953,Cold Spot 95%
1168011800,강남구,도곡동,주거비관측,17.447297,5,-1.784402,0.074358,Cold Spot 90%
1171010100,송파구,잠실동,주거비관측,25.889249,6,-1.158603,0.246618,Not significant
1171010300,송파구,풍납동,주거비관측,30.523234,4,-0.969301,0.332395,Not significant
1171010400,송파구,송파동,주거비관측,36.363162,5,-1.040747,0.297993,Not significant
1171010500,송파구,석촌동,주거비관측,47.853166,4,-0.699741,0.484089,Not significant
