LDRI_rank,법정동코드,시군구명,법정동명,CI,주거비_압박지수,LDRI_raw,LDRI,LDRI_등급,위험유형
229,1141011800,서대문구,홍은동,0.34695,0.1975,0.181433,34.798342,낮음,안정형
230,1135010500,노원구,상계동,0.353366,0.194,0.181328,34.778181,낮음,안정형
231,1153011000,구로구,온수동,0.336991,0.2016,0.180091,34.540974,낮음,이탈진행형
232,1171011300,송파구,거여동,0.30502,0.2213,0.179818,34.488532,낮음,이탈진행형
233,1111010900,종로구,누상동,0.306491,0.2202,0.179742,34.474034,낮음,이탈진행형
234,1120011300,성동구,옥수동,0.28543,0.2353,0.179449,34.417921,낮음,이탈진행형
235,1171011200,송파구,오금동,0.324563,0.207,0.178353,34.207668,낮음,이탈진행형
236,1111018100,종로구,행촌동,0.317167,0.2105,0.177395,34.023873,낮음,이탈진행형
237,1135010600,노원구,중계동,0.348296,0.192,0.176777,33.905393,낮음,안정형
238,1144011500,마포구,상수동,0.39169,0.1718,0.176664,33.883673,낮음,안정형
239,1141011900,서대문구,북가좌동,0.343932,0.1934,0.175909,33.738951,낮음,안정형
240,1144011400,마포구,창전동,0.391758,0.1701,0.174831,33.532143,낮음,안정형
241,1174010200,강동구,고덕동,0.229209,0.283,0.174694,33.505893,낮음,이탈진행형
242,1156013300,영등포구,대림동,0.386412,0.1718,0.174283,33.427022,낮음,안정형
243,1150010800,강서구,공항동,0.33946,0.1938,0.174002,33.373054,낮음,안정형
244,1138010700,은평구,응암동,0.375552,0.1749,0.172643,33.112398,낮음,안정형
245,1114017300,중구,만리동1가,0.412633,0.1589,0.171216,32.838844,낮음,잠재위험형
246,1138010500,은평구,구산동,0.35283,0.183,0.170194,32.642668,낮음,안정형
247,1165010100,서초구,방배동,0.298133,0.2139,0.169585,32.525944,낮음,이탈진행형
248,1144010500,마포구,용강동,0.301349,0.2116,0.169475,32.504839,낮음,이탈진행형
249,1165010800,서초구,서초동,0.30523,0.2085,0.16901,32.415686,낮음,이탈진행형
250,1129010400,성북구,동소문동1가,0.390933,0.1645,0.168338,32.286711,낮음,안정형
