법정동코드,법정동코드8,시군구명,법정동명,CI,주거비자료_매칭여부,관측품질,주거비_압박지수,D1_score,LDRI_raw,LDRI,LDRI_rank,LDRI_등급,위험유형,차원비교유형
1159010700,11590107,동작구,사당동,0.392619,매칭,주거비관측,0.216,0.216,0.084806,42.892384,133,보통,이탈진행형,CI 낮음 / 주거비 높음
1159010300,11590103,동작구,상도1동,0.429321,매칭,주거비관측,0.1707,0.1707,0.073285,36.700261,202,낮음,잠재위험형,CI 높음 / 주거비 낮음
1159010200,11590102,동작구,상도동,0.405498,매칭,주거비관측,0.2012,0.2012,0.081586,41.161924,151,보통,강제잔류·압박형,CI 높음 / 주거비 높음
1159010900,11590109,동작구,신대방동,0.368436,매칭,주거비관측,0.2152,0.2152,0.079287,39.926391,168,보통,이탈진행형,CI 낮음 / 주거비 높음
1159010500,11590105,동작구,흑석동,0.312342,매칭,주거비관측,0.2247,0.2247,0.070183,35.033108,221,낮음,이탈진행형,CI 낮음 / 주거비 높음
1144010200,11440102,마포구,공덕동,0.361204,매칭,주거비관측,0.2224,0.2224,0.080332,40.487759,159,보통,이탈진행형,CI 낮음 / 주거비 높음
1144011300,11440113,마포구,구수동,0.333333,매칭,주거비관측,0.2364,0.2364,0.0788,39.664364,173,보통,이탈진행형,CI 낮음 / 주거비 높음
1144011000,11440110,마포구,노고산동,0.513985,매칭,주거비관측,0.2352,0.2352,0.120889,62.286747,34,매우높음,강제잔류·압박형,CI 높음 / 주거비 높음
1144011800,11440118,마포구,당인동,0.391734,매칭,주거비관측,0.2097,0.2097,0.082147,41.463131,147,보통,이탈진행형,CI 낮음 / 주거비 높음
1144010800,11440108,마포구,대흥동,0.386154,매칭,주거비관측,0.2439,0.2439,0.094183,47.932511,80,높음,이탈진행형,CI 낮음 / 주거비 높음
1144010400,11440104,마포구,도화동,0.354373,매칭,주거비관측,0.2815,0.2815,0.099756,50.927853,70,높음,이탈진행형,CI 낮음 / 주거비 높음
1144012100,11440121,마포구,동교동,0.517905,매칭,주거비관측,0.2497,0.2497,0.129321,66.818542,23,매우높음,강제잔류·압박형,CI 높음 / 주거비 높음
1144010700,11440107,마포구,마포동,0.335297,매칭,주거비관측,0.4852,0.4852,0.162686,84.751864,7,매우높음,이탈진행형,CI 낮음 / 주거비 높음
1144012300,11440123,마포구,망원동,0.390708,매칭,주거비관측,0.2023,0.2023,0.07904,39.793552,172,보통,이탈진행형,CI 낮음 / 주거비 높음
1144011500,11440115,마포구,상수동,0.39169,매칭,주거비관측,0.1718,0.1718,0.067292,33.479288,234,낮음,안정형,CI 낮음 / 주거비 낮음
1144012700,11440127,마포구,상암동,0.353229,매칭,주거비관측,0.1996,0.1996,0.070505,35.205755,218,낮음,안정형,CI 낮음 / 주거비 낮음
1144012000,11440120,마포구,서교동,0.518278,매칭,주거비관측,0.2033,0.2033,0.105366,53.943096,63,매우높음,강제잔류·압박형,CI 높음 / 주거비 높음
1144012500,11440125,마포구,성산동,0.435133,매칭,주거비관측,0.2063,0.2063,0.089768,45.559467,103,높음,강제잔류·압박형,CI 높음 / 주거비 높음
1144010300,11440103,마포구,신공덕동,0.40321,매칭,주거비관측,0.2075,0.2075,0.083666,42.27982,138,보통,강제잔류·압박형,CI 높음 / 주거비 높음
1144011100,11440111,마포구,신수동,0.411989,매칭,주거비관측,0.2083,0.2083,0.085817,43.436096,131,높음,강제잔류·압박형,CI 높음 / 주거비 높음
1144011700,11440117,마포구,신정동,0.370719,미매칭,주거비자료없음,,,,,,,,
1144010100,11440101,마포구,아현동,0.362838,매칭,주거비관측,0.1577,0.1577,0.05722,28.065324,283,매우낮음,안정형,CI 낮음 / 주거비 낮음
1144012400,11440124,마포구,연남동,0.47211,매칭,주거비관측,0.1821,0.1821,0.085971,43.518801,128,높음,잠재위험형,CI 높음 / 주거비 낮음
1144010900,11440109,마포구,염리동,0.327494,매칭,주거비관측,0.2312,0.2312,0.075717,38.007133,189,보통,이탈진행형,CI 낮음 / 주거비 높음
1144010500,11440105,마포구,용강동,0.301349,매칭,주거비관측,0.2116,0.2116,0.063765,31.583581,251,낮음,이탈진행형,CI 낮음 / 주거비 높음
1144012600,11440126,마포구,중동,0.452549,매칭,주거비관측,0.1866,0.1866,0.084446,42.698897,135,보통,잠재위험형,CI 높음 / 주거비 낮음
1144011400,11440114,마포구,창전동,0.391758,매칭,주거비관측,0.1701,0.1701,0.066638,33.127592,239,낮음,안정형,CI 낮음 / 주거비 낮음
1144010600,11440106,마포구,토정동,0.29752,매칭,주거비관측,0.2761,0.2761,0.082145,41.462475,148,보통,이탈진행형,CI 낮음 / 주거비 높음
1144011600,11440116,마포구,하중동,0.391337,매칭,주거비관측,0.0657,0.0657,0.025711,11.129901,329,매우낮음,안정형,CI 낮음 / 주거비 낮음
1144012200,11440122,마포구,합정동,0.452848,매칭,주거비관측,0.2133,0.2133,0.096593,49.227622,75,높음,강제잔류·압박형,CI 높음 / 주거비 높음
1144011200,11440112,마포구,현석동,0.339463,매칭,주거비관측,0.4162,0.4162,0.141285,73.248832,13,매우높음,이탈진행형,CI 낮음 / 주거비 높음
1141012000,11410120,서대문구,남가좌동,0.334387,매칭,주거비관측,0.2301,0.2301,0.076943,38.666058,181,보통,이탈진행형,CI 낮음 / 주거비 높음
1141010500,11410105,서대문구,냉천동,0.367462,매칭,주거비관측,0.1506,0.1506,0.05534,27.05496,289,매우낮음,안정형,CI 낮음 / 주거비 낮음
1141011300,11410113,서대문구,대신동,0.641226,매칭,주거비관측,0.2792,0.2792,0.17903,93.536476,3,매우높음,강제잔류·압박형,CI 높음 / 주거비 높음
1141011200,11410112,서대문구,대현동,0.56941,매칭,주거비관측,0.1833,0.1833,0.104373,53.409376,65,매우높음,잠재위험형,CI 높음 / 주거비 낮음
1141010400,11410104,서대문구,미근동,0.402359,미매칭,주거비자료없음,,,,,,,,
1141011500,11410115,서대문구,봉원동,0.641603,미매칭,주거비자료없음,,,,,,,,
1141011900,11410119,서대문구,북가좌동,0.343932,매칭,주거비관측,0.1934,0.1934,0.066517,33.062245,240,낮음,안정형,CI 낮음 / 주거비 낮음
1141011000,11410110,서대문구,북아현동,0.398638,매칭,주거비관측,0.1508,0.1508,0.060115,29.621314,275,매우낮음,안정형,CI 낮음 / 주거비 낮음
1141011400,11410114,서대문구,신촌동,0.640695,매칭,주거비관측,0.2551,0.2551,0.163441,85.15775,6,매우높음,강제잔류·압박형,CI 높음 / 주거비 높음
1141011700,11410117,서대문구,연희동,0.448292,매칭,주거비관측,0.1798,0.1798,0.080603,40.633416,157,보통,잠재위험형,CI 높음 / 주거비 낮음
1141010800,11410108,서대문구,영천동,0.367107,매칭,주거비관측,0.1152,0.1152,0.042291,20.04131,314,매우낮음,안정형,CI 낮음 / 주거비 낮음
1141010700,11410107,서대문구,옥천동,0.365353,매칭,주거비관측,0.3078,0.3078,0.112456,57.753743,45,매우높음,이탈진행형,CI 낮음 / 주거비 높음
1141011600,11410116,서대문구,창천동,0.641854,매칭,주거비관측,0.2289,0.2289,0.14692,76.277943,10,매우높음,강제잔류·압박형,CI 높음 / 주거비 높음
1141010600,11410106,서대문구,천연동,0.367646,매칭,주거비관측,0.2414,0.2414,0.08875,45.012209,109,높음,이탈진행형,CI 낮음 / 주거비 높음
1141010100,11410101,서대문구,충정로2가,0.411234,매칭,주거비관측,0.1742,0.1742,0.071637,35.814394,212,낮음,잠재위험형,CI 높음 / 주거비 낮음
1141010200,11410102,서대문구,충정로3가,0.412755,매칭,주거비관측,0.218,0.218,0.089981,45.67377,101,높음,강제잔류·압박형,CI 높음 / 주거비 높음
1141010300,11410103,서대문구,합동,0.410438,미매칭,주거비자료없음,,,,,,,,
1141010900,11410109,서대문구,현저동,0.367584,미매칭,주거비자료없음,,,,,,,,
1141011800,11410118,서대문구,홍은동,0.34695,매칭,주거비관측,0.1975,0.1975,0.068523,34.140495,229,낮음,안정형,CI 낮음 / 주거비 낮음
1141011100,11410111,서대문구,홍제동,0.340499,매칭,주거비관측,0.2079,0.2079,0.07079,35.359015,217,낮음,이탈진행형,CI 낮음 / 주거비 높음
1165010900,11650109,서초구,내곡동,0.298228,매칭,주거비관측,0.1139,0.1139,0.033968,15.568076,322,매우낮음,안정형,CI 낮음 / 주거비 낮음
1165010700,11650107,서초구,반포동,0.241248,매칭,주거비관측,0.2077,0.2077,0.050107,24.242566,303,매우낮음,이탈진행형,CI 낮음 / 주거비 높음
1165010100,11650101,서초구,방배동,0.298133,매칭,주거비관측,0.2139,0.2139,0.063771,31.586397,250,낮음,이탈진행형,CI 낮음 / 주거비 높음
1165010800,11650108,서초구,서초동,0.30523,매칭,주거비관측,0.2085,0.2085,0.06364,31.516398,253,낮음,이탈진행형,CI 낮음 / 주거비 높음
